threshold,shown_rate,precision,recall,f1,accuracy,tp,fp,fn,tn
0.3,0.641955223880597,0.6730603799028155,0.895505305162867,0.7685099153149805,0.7397014925373134,28949,14062,3378,20611
0.35,0.5962686567164179,0.6997747183979975,0.8647879481547932,0.7735794236064032,0.7557462686567165,27956,11994,4371,22679
0.4,0.553179104477612,0.7247119769041902,0.8308844000371207,0.77417495316328,0.7661194029850746,26860,10203,5467,24470
0.45,0.5125522388059701,0.7486968929268222,0.7953413555232468,0.7713145737085259,0.7724477611940298,25711,8630,6616,26043
0.5,0.47055223880597014,0.7726076061788308,0.7534877965787113,0.7629279293388042,0.7740597014925373,24358,7169,7969,27504
0.55,0.42956716417910445,0.7944824710746673,0.7073344263309308,0.7483799175230739,0.7705074626865671,22866,5915,9461,28758
0.6,0.3877462686567164,0.8180453443165634,0.6574071209824605,0.7289815799403149,0.7641492537313432,21252,4727,11075,29946
0.65,0.3461492537313433,0.8408934115212142,0.603272806013549,0.7025342675480466,0.7535074626865672,19502,3690,12825,30983
0.7,0.3043134328358209,0.8611506204325862,0.5431373155566555,0.6661355186281205,0.7373134328358208,17558,2831,14769,31842
0.75,0.26143283582089555,0.8840488696049327,0.4790113527391963,0.6213510422727364,0.7183134328358209,15485,2031,16842,32642
0.8,0.21498507462686567,0.9060677589558456,0.40371825409100753,0.5585585585585585,0.6921044776119403,13051,1353,19276,33320
0.85,0.16662686567164178,0.9273557864564672,0.3202586073560801,0.4760985031385804,0.6599253731343283,10353,811,21974,33862
0.9,0.11558208955223881,0.9504132231404959,0.2276734618121075,0.36734795737565823,0.6216268656716418,7360,384,24967,34289
